axialtime,axialaccel,bILBA,timptime,temp,bILBA,agltime,agl,bILBA
0.76125,14.87,b1100,15.24,66.81,b1111,15.245,2719.39,b1111
0.76375,14.87,b1100,15.29,66.78,b1111,15.295,2716.93,b1111
0.76625,15.03,b1100,15.34,66.75,b1111,15.345,2713.23,b1111
0.76875,14.87,b1100,15.39,66.75,b1111,15.395,2710.78,b1111
0.77125,15.03,b1100,15.44,66.69,b1111,15.445,2708.32,b1111
0.77375,14.87,b1100,15.49,66.69,b1111,15.495,2704.63,b1111
0.77625,14.78,b1100,15.54,66.66,b1111,15.545,2702.16,b1111
0.77875,14.87,b1100,15.59,66.63,b1111,15.595,2702.16,b1111
0.78125,14.87,b1100,15.64,66.57,b1111,15.645,2700.93,b1111
0.78375,14.7,b1100,15.69,66.57,b1111,15.695,2700.93,b1111
0.78625,14.61,b1100,15.74,66.57,b1111,15.745,2699.71,b1111
0.78875,14.53,b1100,15.79,66.57,b1111,15.795,2697.25,b1111
0.79125,14.78,b1100,15.84,66.54,b1111,15.845,2691.1,b1111
0.79375,14.7,b1100,15.89,66.51,b1111,15.895,2684.96,b1111
0.79625,14.53,b1100,15.94,66.51,b1111,15.945,2678.81,b1111
0.79875,14.53,b1100,15.99,66.51,b1111,15.995,2673.9,b1111
0.80125,14.53,b1100,16.04,66.54,b1111,16.045,2668.98,b1111
0.80375,14.7,b1100,16.09,66.54,b1111,16.095,2665.3,b1111
0.80625,14.36,b1100,16.14,66.54,b1111,16.145,2662.83,b1111
0.80875,14.53,b1100,16.19,66.57,b1111,16.195,2659.15,b1111
0.81125,14.45,b1100,16.24,66.57,b1111,16.245,2657.92,b1111
0.81375,14.53,b1100,16.29,66.57,b1111,16.295,2656.7,b1111
0.81625,14.36,b1100,16.34,66.57,b1111,16.345,2656.7,b1111
0.81875,14.45,b1100,16.39,66.6,b1111,16.395,2656.7,b1111
0.82125,14.36,b1100,16.44,66.6,b1111,16.445,2656.7,b1111
0.82375,14.19,b1100,16.49,66.63,b1111,16.495,2656.7,b1111
0.82625,14.36,b1100,16.54,66.63,b1111,16.545,2654.23,b1111
0.82875,14.28,b1100,16.59,66.63,b1111,16.595,2650.56,b1111
0.83125,14.19,b1100,16.64,66.66,b1111,16.645,2645.64,b1111
0.83375,14.28,b1100,16.69,66.66,b1111,16.695,2639.51,b1111
0.83625,14.03,b1100,16.74,66.69,b1111,16.745,2638.27,b1111
0.83875,14.28,b1100,16.79,66.66,b1111,16.795,2635.82,b1111
0.84125,14.11,b1100,16.84,66.69,b1111,16.845,2632.14,b1111
0.84375,14.03,b1100,16.89,66.69,b1111,16.895,2627.23,b1111
0.84625,14.11,b1100,16.94,66.72,b1111,16.945,2622.32,b1111
0.84875,14.11,b1100,16.99,66.69,b1111,16.995,2617.42,b1111
0.85125,14.03,b1100,17.04,66.72,b1111,17.045,2614.96,b1111
0.85375,14.03,b1100,17.09,66.72,b1111,17.095,2611.28,b1111
0.85625,14.03,b1100,17.14,66.72,b1111,17.145,2607.6,b1111
0.85875,13.78,b1100,17.19,66.75,b1111,17.195,2607.6,b1111
0.86125,14.03,b1100,17.24,66.69,b1111,17.245,2614.96,b1111
0.86375,13.69,b1100,17.29,66.72,b1111,17.295,2611.28,b1111
0.86625,13.86,b1100,17.34,66.78,b1111,17.345,2605.15,b1111
0.86875,13.94,b1100,17.39,66.78,b1111,17.395,2600.24,b1111
0.87125,13.69,b1100,17.44,66.78,b1111,17.445,2595.35,b1111
0.87375,13.94,b1100,17.49,66.78,b1111,17.495,2591.66,b1111
0.87625,13.69,b1100,17.54,66.78,b1111,17.545,2589.21,b1111
0.87875,13.61,b1100,17.59,66.81,b1111,17.595,2586.76,b1111
0.88125,13.61,b1100,17.64,66.81,b1111,17.645,2583.09,b1111
0.88375,13.44,b1100,17.69,66.81,b1111,17.695,2579.4,b1111
0.88625,13.44,b1100,17.74,66.81,b1111,17.745,2574.51,b1111
0.88875,13.36,b1100,17.79,66.81,b1111,17.795,2569.61,b1111
0.89125,13.36,b1100,17.84,66.81,b1111,17.845,2563.48,b1111
0.89375,13.44,b1100,17.89,66.84,b1111,17.895,2558.58,b1111
0.89625,13.36,b1100,17.94,66.84,b1111,17.945,2554.91,b1111
0.89875,13.52,b1100,17.99,66.84,b1111,17.995,2553.68,b1111
0.90125,13.19,b1100,18.04,66.84,b1111,18.045,2552.46,b1111
0.90375,13.11,b1100,18.09,66.84,b1111,18.095,2550.02,b1111
0.90625,13.19,b1100,18.14,66.84,b1111,18.145,2547.56,b1111
0.90875,12.85,b1100,18.19,66.87,b1111,18.195,2545.12,b1111
